round,label,type,base,sam2_chamfer,sam2_fscore,rembg_chamfer,rembg_fscore
abo_test,ABO first-5 (renders),office_chair,office_chair_01,0.056931,0.4848,0.102307,0.3798
abo_test,ABO first-5 (renders),office_chair,office_chair_02,0.074851,0.5158,0.024979,0.8282
abo_test,ABO first-5 (renders),office_chair,office_chair_03,0.148769,0.2304,0.15723,0.2056
abo_test,ABO first-5 (renders),office_chair,office_chair_04,0.161272,0.1867,0.154143,0.1663
abo_test,ABO first-5 (renders),office_chair,office_chair_05,0.156907,0.175,0.163131,0.1538
abo_test,ABO first-5 (renders),desk,desk_06,0.348239,0.1353,0.237032,0.0921
abo_test,ABO first-5 (renders),desk,desk_07,0.266022,0.2162,0.166798,0.2988
abo_test,ABO first-5 (renders),desk,desk_08,0.246134,0.0905,0.135122,0.4301
abo_test,ABO first-5 (renders),desk,desk_09,0.243186,0.1198,0.214285,0.1824
abo_test,ABO first-5 (renders),desk,desk_10,0.136213,0.2396,0.093326,0.3129
abo_test,ABO first-5 (renders),table,table_11,0.198653,0.2881,0.043099,0.5204
abo_test,ABO first-5 (renders),table,table_12,0.134154,0.2749,0.229839,0.2596
abo_test,ABO first-5 (renders),table,table_13,0.189888,0.2281,0.084861,0.4434
abo_test,ABO first-5 (renders),table,table_14,0.063641,0.6202,0.025992,0.8348
abo_test,ABO first-5 (renders),table,table_15,0.087966,0.3807,0.090711,0.337
abo_test,ABO first-5 (renders),sofa,sofa_16,0.117266,0.3317,0.343585,0.0
abo_test,ABO first-5 (renders),sofa,sofa_17,0.182603,0.1392,0.144246,0.2582
abo_test,ABO first-5 (renders),sofa,sofa_18,0.122755,0.3615,0.102054,0.2491
abo_test,ABO first-5 (renders),sofa,sofa_19,0.059641,0.4622,0.058635,0.4672
abo_test,ABO first-5 (renders),sofa,sofa_20,0.104361,0.3493,0.114014,0.3187
abo_test,ABO first-5 (renders),bookshelf,bookshelf_21,0.186298,0.178,0.047856,0.5461
abo_test,ABO first-5 (renders),bookshelf,bookshelf_22,0.268811,0.0979,0.020896,0.9171
abo_test,ABO first-5 (renders),bookshelf,bookshelf_23,0.045408,0.55,0.089608,0.3397
abo_test,ABO first-5 (renders),bookshelf,bookshelf_24,0.20245,0.0739,0.110511,0.3605
abo_test,ABO first-5 (renders),bookshelf,bookshelf_25,0.187415,0.1584,0.18256,0.1444
abo_test_random,ABO random seed-42 (renders),office_chair,office_chair_01,0.066609,0.4252,0.061287,0.4335
abo_test_random,ABO random seed-42 (renders),office_chair,office_chair_02,0.121065,0.281,0.136799,0.2407
abo_test_random,ABO random seed-42 (renders),office_chair,office_chair_03,0.074851,0.5158,0.024979,0.8282
abo_test_random,ABO random seed-42 (renders),office_chair,office_chair_04,0.081957,0.4298,0.077559,0.435
abo_test_random,ABO random seed-42 (renders),office_chair,office_chair_05,0.113647,0.4578,0.074999,0.7092
abo_test_random,ABO random seed-42 (renders),desk,desk_06,0.155699,0.2886,0.134894,0.1413
abo_test_random,ABO random seed-42 (renders),desk,desk_07,0.150852,0.3046,0.122965,0.474
abo_test_random,ABO random seed-42 (renders),desk,desk_08,0.283146,0.176,0.185024,0.1746
abo_test_random,ABO random seed-42 (renders),desk,desk_09,0.137653,0.4756,0.173701,0.2516
abo_test_random,ABO random seed-42 (renders),desk,desk_10,0.122166,0.3024,0.135047,0.2379
abo_test_random,ABO random seed-42 (renders),table,table_11,0.171128,0.1011,0.414635,0.0054
abo_test_random,ABO random seed-42 (renders),table,table_12,0.164692,0.2036,0.177732,0.2815
abo_test_random,ABO random seed-42 (renders),table,table_13,0.433066,0.0328,0.017658,0.9152
abo_test_random,ABO random seed-42 (renders),table,table_14,0.123865,0.3123,0.165068,0.1106
abo_test_random,ABO random seed-42 (renders),table,table_15,0.030819,0.7843,0.032557,0.7012
