id,category,source_id,product_type,dim_x_m,dim_y_m,dim_z_m,faces,glb_size_mb,license,source
office_chair_B07DBH52YB,office_chair,B07DBH52YB,CHAIR,0.689,0.886,0.806,5956,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B076HDDMKM,office_chair,B076HDDMKM,CHAIR,0.399,0.897,0.556,5795,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075ZZYH4B,office_chair,B075ZZYH4B,CHAIR,0.399,0.897,0.556,5795,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YMJ254,office_chair,B075YMJ254,CHAIR,0.483,0.892,0.569,10016,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X4N4S4,office_chair,B075X4N4S4,CHAIR,0.928,0.773,0.843,23778,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07DBGPHG5,office_chair,B07DBGPHG5,CHAIR,0.715,1.017,0.89,10922,1.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B072PZSJ41,office_chair,B072PZSJ41,CHAIR,1.024,1.01,1.038,16994,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7B244W,office_chair,B07B7B244W,CHAIR,0.571,0.832,0.677,10610,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B072Y6Y96S,office_chair,B072Y6Y96S,CHAIR,0.683,0.951,0.772,13700,1.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B4MRLRJ,office_chair,B07B4MRLRJ,CHAIR,1.004,0.842,0.805,7124,1.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B073G6GTKL,office_chair,B073G6GTKL,CHAIR,0.663,0.792,0.743,16948,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YPTG6M,office_chair,B075YPTG6M,CHAIR,0.479,0.858,0.518,12508,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YN3HN9,office_chair,B075YN3HN9,CHAIR,0.472,0.889,0.561,9308,1.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X4N515,office_chair,B075X4N515,CHAIR,0.836,0.911,0.831,22648,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B072JG3WN7,office_chair,B072JG3WN7,CHAIR,1.293,1.005,1.274,18342,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B78M186,office_chair,B07B78M186,CHAIR,0.508,0.952,0.655,3402,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7BFP97,office_chair,B07B7BFP97,CHAIR,0.508,0.952,0.655,3402,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07HSDY12Q,office_chair,B07HSDY12Q,CHAIR,0.533,0.736,0.5,25492,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X65R45,office_chair,B075X65R45,CHAIR,0.766,0.942,0.842,22828,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B0746DPMTR,office_chair,B0746DPMTR,CHAIR,0.784,0.95,0.906,12194,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B79WTSL,office_chair,B07B79WTSL,CHAIR,0.683,1.081,0.794,18324,1.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YMJ25F,office_chair,B075YMJ25F,CHAIR,0.47,0.931,0.612,11032,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YQ8Q2K,office_chair,B075YQ8Q2K,CHAIR,0.47,0.931,0.612,11032,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YP32LQ,office_chair,B075YP32LQ,CHAIR,0.47,0.931,0.612,11032,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07HSL2HJZ,office_chair,B07HSL2HJZ,CHAIR,0.713,0.827,0.689,20274,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7BDFPR,office_chair,B07B7BDFPR,CHAIR,0.683,1.081,0.794,18324,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B071J7Q6KD,office_chair,B071J7Q6KD,CHAIR,0.855,0.927,0.8,33279,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YP38DX,office_chair,B075YP38DX,CHAIR,0.535,0.924,0.623,24712,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X4YDCM,office_chair,B075X4YDCM,CHAIR,0.766,0.944,0.842,22828,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075X4VW74,office_chair,B075X4VW74,CHAIR,1.42,0.846,0.871,16324,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YQ4778,office_chair,B075YQ4778,CHAIR,0.548,0.849,0.605,16446,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YP3BD8,office_chair,B075YP3BD8,CHAIR,0.513,0.905,0.584,10690,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7B3RVS,office_chair,B07B7B3RVS,CHAIR,0.578,0.843,0.682,9430,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B075YQXQJR,office_chair,B075YQXQJR,CHAIR,0.513,0.905,0.584,10678,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7BDW51,office_chair,B07B7BDW51,CHAIR,0.571,0.833,0.677,10610,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B7B6W64,office_chair,B07B7B6W64,CHAIR,0.571,0.833,0.677,10610,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07HZ5P7N2,office_chair,B07HZ5P7N2,CHAIR,0.674,1.058,1.02,22236,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B4G5R5H,office_chair,B07B4G5R5H,CHAIR,0.65,0.889,0.775,23052,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B4MKSB1,office_chair,B07B4MKSB1,CHAIR,0.773,0.497,0.574,27064,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
office_chair_B07B4M6B3B,office_chair,B07B4M6B3B,CHAIR,0.782,0.897,0.83,17732,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
