id,pipeline,license,class,downloads,likes,url
microsoft/TRELLIS-image-large,image-to-3d,mit,OPEN-SOURCE,1139419,657,https://huggingface.co/microsoft/TRELLIS-image-large
microsoft/TRELLIS.2-4B,image-to-3d,mit,OPEN-SOURCE,1085323,966,https://huggingface.co/microsoft/TRELLIS.2-4B
yyfz233/Pi3,image-to-3d,bsd-2-clause,OPEN-SOURCE,383538,15,https://huggingface.co/yyfz233/Pi3
stabilityai/TripoSR,image-to-3d,mit,OPEN-SOURCE,188532,630,https://huggingface.co/stabilityai/TripoSR
depth-anything/DA3-BASE,image-to-3d,apache-2.0,OPEN-SOURCE,59134,33,https://huggingface.co/depth-anything/DA3-BASE
facebook/map-anything-apache,image-to-3d,apache-2.0,OPEN-SOURCE,23098,37,https://huggingface.co/facebook/map-anything-apache
TencentARC/InstantMesh,image-to-3d,apache-2.0,OPEN-SOURCE,19164,339,https://huggingface.co/TencentARC/InstantMesh
gqk/TRELLIS-image-large-fork,image-to-3d,mit,OPEN-SOURCE,18452,2,https://huggingface.co/gqk/TRELLIS-image-large-fork
camenduru/TRELLIS.2-4B,image-to-3d,mit,OPEN-SOURCE,15344,0,https://huggingface.co/camenduru/TRELLIS.2-4B
jetx/trellis-image-large,image-to-3d,mit,OPEN-SOURCE,10210,8,https://huggingface.co/jetx/trellis-image-large
lhjiang/anysplat,image-to-3d,mit,OPEN-SOURCE,7374,12,https://huggingface.co/lhjiang/anysplat
microsoft/TRELLIS-text-xlarge,text-to-3d,mit,OPEN-SOURCE,5912,63,https://huggingface.co/microsoft/TRELLIS-text-xlarge
AvaLovelace/BrickGPT,text-to-3d,mit,OPEN-SOURCE,2997,16,https://huggingface.co/AvaLovelace/BrickGPT
openai/shap-e,text-to-3d,mit,OPEN-SOURCE,2854,277,https://huggingface.co/openai/shap-e
Stable-X/trellis-normal-v0-1,image-to-3d,mit,OPEN-SOURCE,2613,15,https://huggingface.co/Stable-X/trellis-normal-v0-1
VAST-AI/TripoSG,image-to-3d,mit,OPEN-SOURCE,2023,137,https://huggingface.co/VAST-AI/TripoSG
microsoft/TRELLIS-text-large,text-to-3d,mit,OPEN-SOURCE,1968,18,https://huggingface.co/microsoft/TRELLIS-text-large
microsoft/TRELLIS-text-base,text-to-3d,mit,OPEN-SOURCE,1452,16,https://huggingface.co/microsoft/TRELLIS-text-base
yejunliang23/ShapeLLM-7B-omni,image-to-3d,mit,OPEN-SOURCE,849,15,https://huggingface.co/yejunliang23/ShapeLLM-7B-omni
bralani01/nopo4d,image-to-3d,mit,OPEN-SOURCE,680,1,https://huggingface.co/bralani01/nopo4d
Yiwen-ntu/MeshAnythingV2,image-to-3d,mit,OPEN-SOURCE,653,26,https://huggingface.co/Yiwen-ntu/MeshAnythingV2
arabago96/ASM-model,image-to-3d,mit,OPEN-SOURCE,393,0,https://huggingface.co/arabago96/ASM-model
FreedomIntelligence/BlenderLLM,text-to-3d,apache-2.0,OPEN-SOURCE,256,45,https://huggingface.co/FreedomIntelligence/BlenderLLM
wgsxm/PartCrafter,image-to-3d,mit,OPEN-SOURCE,248,33,https://huggingface.co/wgsxm/PartCrafter
VAST-AI/MIDI-3D,image-to-3d,apache-2.0,OPEN-SOURCE,210,51,https://huggingface.co/VAST-AI/MIDI-3D
PhysX-Omni/PhysX-Omni,image-to-3d,mit,OPEN-SOURCE,174,8,https://huggingface.co/PhysX-Omni/PhysX-Omni
dptech/Uni-3DAR,text-to-3d,mit,OPEN-SOURCE,167,4,https://huggingface.co/dptech/Uni-3DAR
Luffuly/head-mvimage-diffuser,image-to-3d,mit,OPEN-SOURCE,159,2,https://huggingface.co/Luffuly/head-mvimage-diffuser
SadilKhan/NURBGen,text-to-3d,apache-2.0,OPEN-SOURCE,141,0,https://huggingface.co/SadilKhan/NURBGen
cavargas10/TRELLIS,image-to-3d,mit,OPEN-SOURCE,136,4,https://huggingface.co/cavargas10/TRELLIS
mr4425390/TRELLIS.2-4B,image-to-3d,mit,OPEN-SOURCE,111,0,https://huggingface.co/mr4425390/TRELLIS.2-4B
hellork/BlenderLLM-IQ3_XXS-GGUF,text-to-3d,apache-2.0,OPEN-SOURCE,107,6,https://huggingface.co/hellork/BlenderLLM-IQ3_XXS-GGUF
qian43/Sat3DGen,image-to-3d,mit,OPEN-SOURCE,96,6,https://huggingface.co/qian43/Sat3DGen
JSCreatorPro/offline-3d-instantmesh,image-to-3d,apache-2.0,OPEN-SOURCE,91,0,https://huggingface.co/JSCreatorPro/offline-3d-instantmesh
Rhaqbany32/TRELLIS.2-4B,image-to-3d,mit,OPEN-SOURCE,90,0,https://huggingface.co/Rhaqbany32/TRELLIS.2-4B
